feature,mean_importance,std_importance
feature_0,0.0,0.0
feature_604,0.0,0.0
feature_636,0.0,0.0
feature_637,0.0,0.0
feature_638,0.0,0.0
feature_639,0.0,0.0
feature_640,0.0,0.0
feature_641,0.0,0.0
feature_642,0.0,0.0
feature_643,0.0,0.0
feature_644,0.0,0.0
feature_645,0.0,0.0
feature_646,0.0,0.0
feature_647,0.0,0.0
feature_648,0.0,0.0
feature_649,0.0,0.0
feature_650,0.0,0.0
feature_651,0.0,0.0
feature_652,0.0,0.0
feature_653,0.0,0.0
feature_654,0.0,0.0
feature_655,0.0,0.0
feature_656,0.0,0.0
feature_657,0.0,0.0
feature_658,0.0,0.0
feature_659,0.0,0.0
feature_660,0.0,0.0
feature_661,0.0,0.0
feature_662,0.0,0.0
feature_635,0.0,0.0
feature_634,0.0,0.0
feature_633,0.0,0.0
feature_618,0.0,0.0
feature_606,0.0,0.0
feature_607,0.0,0.0
feature_608,0.0,0.0
feature_609,0.0,0.0
feature_610,0.0,0.0
feature_611,0.0,0.0
feature_612,0.0,0.0
feature_613,0.0,0.0
feature_614,0.0,0.0
feature_615,0.0,0.0
feature_616,0.0,0.0
feature_617,0.0,0.0
feature_619,0.0,0.0
feature_632,0.0,0.0
feature_620,0.0,0.0
feature_621,0.0,0.0
feature_622,0.0,0.0
feature_623,0.0,0.0
feature_624,0.0,0.0
feature_625,0.0,0.0
feature_626,0.0,0.0
feature_627,0.0,0.0
feature_628,0.0,0.0
feature_629,0.0,0.0
feature_630,0.0,0.0
feature_631,0.0,0.0
feature_663,0.0,0.0
feature_664,0.0,0.0
feature_665,0.0,0.0
feature_709,0.0,0.0
feature_697,0.0,0.0
feature_698,0.0,0.0
feature_699,0.0,0.0
feature_700,0.0,0.0
feature_701,0.0,0.0
feature_702,0.0,0.0
feature_703,0.0,0.0
feature_704,0.0,0.0
feature_705,0.0,0.0
feature_706,0.0,0.0
feature_707,0.0,0.0
feature_708,0.0,0.0
feature_710,0.0,0.0
feature_695,0.0,0.0
feature_711,0.0,0.0
feature_712,0.0,0.0
feature_713,0.0,0.0
feature_714,0.0,0.0
feature_715,0.0,0.0
feature_716,0.0,0.0
feature_717,0.0,0.0
feature_718,0.0,0.0
feature_719,0.0,0.0
feature_720,0.0,0.0
feature_721,0.0,0.0
feature_722,0.0,0.0
feature_696,0.0,0.0
feature_694,0.0,0.0
feature_666,0.0,0.0
