feature,perm_importance_mean,perm_importance_std
suicidal_thoughts,0.023999999999999976,0.00904310664416703
physical_activity_level,0.02133333333333331,0.007180219742846015
menstrual_irregularities,0.015999999999999976,0.011623730516108469
family_psych_history,0.007333333333333319,0.0046666666666666575
skin_rash,0.003999999999999992,0.005333333333333324
muscle_pain,0.003999999999999981,0.012000000000000007
family_autoimmune_history,0.0026666666666666505,0.014966629547095777
age,0.0,0.0
weight_kg,0.0,0.0
height_cm,0.0,0.0
sleep_quality,-1.6653345369377347e-17,0.005163977794943235
anxiety,-0.000666666666666682,0.01171893055416463
chronic_fatigue,-0.0020000000000000183,0.0042687494916219156
joint_pain,-0.002666666666666684,0.0032659863237109255
brain_fog,-0.0026666666666666896,0.010413666234542212
smoking,-0.00466666666666668,0.01034944979750669
alcohol,-0.011333333333333362,0.008459051693633009
depression_symptoms,-0.015333333333333355,0.0073333333333333315
stress_level,-0.020666666666666687,0.018000000000000002
