feature,importance_mean,importance_std
sleep_quality,0.0033333333333333435,0.004472135954999583
age,0.002666666666666684,0.0032659863237109255
depression_symptoms,0.0,0.0
smoking,0.0,0.0
physical_activity_level,0.0,0.0
stress_level,0.0,0.0
menstrual_irregularities,0.0,0.0
suicidal_thoughts,0.0,0.0
anxiety,0.0,0.0
brain_fog,0.0,0.0
height_cm,0.0,0.0
skin_rash,0.0,0.0
muscle_pain,0.0,0.0
joint_pain,0.0,0.0
chronic_fatigue,0.0,0.0
family_psych_history,0.0,0.0
family_autoimmune_history,0.0,0.0
weight_kg,0.0,0.0
alcohol,0.0,0.0
