run,model,r2,mae,mse,rmse
1,LinearRegression,0.01633617965380274,547.7237506715809,620068.1368245058,787.4440531393362
1,RandomForestRegressor,0.38117290024771433,379.01108389846166,390087.506344256,624.5698570570437
1,SVR_RBF,-0.2731423013146417,599.8541792115705,802545.5021928063,895.8490398458919
1,KNNRegressor,0.08427235221448648,494.32537171428567,577243.4897536542,759.765417582068
2,LinearRegression,0.2743656576475346,585.9188697494632,622946.5560373235,789.26963455927
2,RandomForestRegressor,0.4311384250830457,471.16257859487195,488359.4095169697,698.8271671285896
2,SVR_RBF,-0.2046035307512597,626.0665791709722,1034134.6558090559,1016.9241150690921
2,KNNRegressor,0.23735368640251242,536.4950921538461,654720.7964136696,809.1481918744363
3,LinearRegression,0.27944897356790055,516.3405803250653,482699.7871250799,694.7659945082804
3,RandomForestRegressor,0.47605773587618316,353.52700161948707,350990.852945834,592.4448100421118
3,SVR_RBF,-0.04601332458863161,543.2318089997302,700728.1796669668,837.0950840059729
3,KNNRegressor,0.2035948733508126,532.7260881978023,533514.7283078792,730.4209254312743
4,LinearRegression,0.23965507066757474,579.648897310736,608901.7376223039,780.3215603982143
4,RandomForestRegressor,0.5103482791459958,403.18316904051295,392124.3795490644,626.1983547958781
4,SVR_RBF,-0.06847740026839588,619.7159761343306,855661.3196655444,925.0196320433121
4,KNNRegressor,0.16151043217163674,587.915664,671481.7645685219,819.4399090650405
5,LinearRegression,0.39549712187491204,486.0582330863734,561712.8888302441,749.475075523025
5,RandomForestRegressor,0.44990617630487195,433.033212205641,511155.2020957062,714.9511886105976
5,SVR_RBF,-0.022007901069743152,608.1182598887599,949664.6439430651,974.5073852686111
5,KNNRegressor,0.2364933477962078,537.8546923956045,709461.514196059,842.2953841711701
6,LinearRegression,0.1820011800794501,672.6671552873808,842588.702961482,917.9263058445825
6,RandomForestRegressor,0.45081584814060327,435.7989215323074,565693.1904219068,752.1257809847411
6,SVR_RBF,-0.03289759226061317,703.4494849689524,1063947.5526864922,1031.4783336001258
