run,r2,mae,mse,rmse
1,-0.9972739915218958,926.335916,1714630.7470066452,1309.4390963334818
2,-0.897596860996134,776.6136278461538,1271207.1279498334,1127.4782161752987
3,-0.8685689319331755,835.2609384615386,1496393.0521902964,1223.2714548252552
4,-0.7037831377867809,809.9617886153846,1583180.135113325,1258.2448629393743
5,-0.6842096840831731,841.0146339999999,1734838.75363615,1317.1327775270609
6,-0.9042248446013919,997.7469781538462,2090956.928761054,1446.0141523377474
7,-1.4618654319385822,687.3250356923077,793486.6500837693,890.7786762623864
8,-0.857324285350531,1088.470649076923,2560406.26148052,1600.126951676185
9,-0.9896565485691446,869.9370213846154,1517647.9288756535,1231.9285404907434
10,-1.6390549025656722,755.0692849230769,915816.1770085021,956.9828509479687
11,-1.086560296976983,776.5936519999999,1154905.9931277207,1074.6655261651044
12,-0.7490554335368194,952.3125364615383,2111423.2120249146,1453.0737118346456
13,-0.8420559789624393,919.4821186153847,1844318.0224848841,1358.056708125579
14,-0.7992722187047285,800.4606407692308,1438032.8615601447,1199.1800788706194
15,-1.1746243822741453,773.991927076923,1105658.960815481,1051.503191062909
16,-0.8239239159603189,788.2876889230769,1370804.929237686,1170.8137893096775
17,-0.9499015715083505,1029.7339947692308,2171277.537147868,1473.5255468256626
18,-0.9548112377472029,851.2241004615385,1479786.4399142023,1216.4647302384901
19,-0.7842973615223594,794.3401575384615,1430778.1270318453,1196.1513813192064
20,-1.2940628676473582,768.9376669230768,1045288.4687589097,1022.3934999592426
21,-1.0841327185282408,858.0754336923078,1411652.2771018958,1188.1297391707253
22,-1.1944838293816868,681.825108,851277.443590333,922.6469766873639
23,-0.8116446130708213,965.2114946153846,2074440.7799105365,1440.2919078820573
24,-0.9662694672909466,807.0495418461538,1321569.1006166579,1149.5951898893184
25,-0.796433291602888,793.9620172307692,1417004.660837043,1190.3800489075088
26,-1.298596122767941,884.6027155384616,1381582.3134985054,1175.4072968543735
27,-1.1968299170294037,832.7704521538462,1269529.0148272514,1126.7337817014502
28,-0.8948122027402812,780.6454832307692,1286904.8047654259,1134.4182671155406
29,-0.7528042099663379,1005.4843450769231,2347712.3286932395,1532.2246338880077
30,-0.6308081990605254,887.1317744615385,2027751.6958705427,1423.9914662211086
